nb;dept;COMMUNE;Commune;CP;Code_insee;longitude;latitude
15645;40;CERE;Cère;40090;40081;-0.516667;43.9833
15646;40;BOUGUE;Bougue;40090;40051;-0.383333;43.9
15647;40;NERBIS;Nerbis;40250;40204;-0.733333;43.75
15648;40;HERM;Herm;40990;40123;-1.15;43.8167
15649;40;CAZERES-SUR-L'ADOUR;Cazères-sur-l'Adour;40270;40080;-0.316667;43.75
15650;40;LOURQUEN;Lourquen;40250;40160;-0.783333;43.7333
15651;40;HERRE;Herré;40310;40124;-0.016667;44
15652;40;LE VIGNAU;Le Vignau;40270;40329;-0.283333;43.7667
15653;40;BATS;Bats;40320;40029;-0.45;43.65
15654;40;BOURDALAT;Bourdalat;40190;40052;-0.2;43.8333
15655;40;PERQUIE;Perquie;40190;40221;-0.283333;43.8667
15656;40;MONTEGUT;Montégut;40190;40193;-0.2;43.8667
15657;40;HONTANX;Hontanx;40190;40127;-0.266667;43.8167
15658;40;VERT;Vert;40420;40323;-0.583333;44.0833
15659;40;AUDIGNON;Audignon;40500;40017;-0.6;43.7167
15660;40;SARRAZIET;Sarraziet;40500;40289;-0.483333;43.7
15661;40;LUBBON;Lubbon;40240;40161;-0.016667;44.1
15662;40;CASTETS;Castets;40260;40075;-1.15;43.8833
15663;40;SAINT-MICHEL-ESCALUS;Saint-Michel-Escalus;40550;40276;-1.25;43.9
15664;40;SERRESLOUS-ET-ARRIBANS;Serreslous-et-Arribans;40700;40299;-0.65;43.6667
15665;40;MONT-DE-MARSAN;Mont-de-Marsan;40000;40192;-0.5;43.8833
15666;40;MAURRIN;Maurrin;40270;40175;-0.366667;43.8333
15667;40;HAURIET;Hauriet;40250;40121;-0.7;43.7167
15668;40;SAINT-MARTIN-DE-SEIGNANX;Saint-Martin-de-Seignanx;40390;40273;-1.38333;43.55
15669;40;SAINT-JEAN-DE-MARSACQ;Saint-Jean-de-Marsacq;40230;40264;-1.25;43.6167
15670;40;ROQUEFORT;Roquefort;40120;40245;-0.3225;44.0334
15671;40;SAINTE-MARIE-DE-GOSSE;Sainte-Marie-de-Gosse;40390;40271;-1.23333;43.5583
15672;40;PAYROS-CAZAUTETS;Payros-Cazautets;40320;40219;-0.4;43.6167
15673;40;MUGRON;Mugron;40250;40201;-0.75;43.75
15674;40;OUSSE-SUZAN;Ousse-Suzan;40110;40215;-0.766667;43.95
15675;40;CAMPAGNE;Campagne;40090;40061;-0.633333;43.8667
15676;40;SAINT-MARTIN-D'ONEY;Saint-Martin-d'Oney;40090;40274;-0.633333;43.9167
15677;40;SAINT-JUSTIN;Saint-Justin;40240;40267;-0.233333;43.9833
15678;40;BAUDIGNAN;Baudignan;40310;40030;0.05;44.0833
15679;40;SAINT-PANDELON;Saint-Pandelon;40180;40277;-1.03333;43.6667
15680;40;SOUSTONS;Soustons;40140;40310;-1.31667;43.75
15681;40;MORGANX;Morganx;40700;40198;-0.566667;43.6167
15682;40;POMAREZ;Pomarez;40360;40228;-0.833333;43.6333
15683;40;BENESSE-LES-DAX;Bénesse-lès-Dax;40180;40035;-1.03333;43.65
15684;40;LOSSE;Losse;40240;40158;-0.1;44.1
15685;40;SAUGNACQ-ET-MURET;Saugnacq-et-Muret;40410;40295;-0.825;44.4083
15686;40;GELOUX;Geloux;40090;40111;-0.633333;43.9833
15687;40;GAREIN;Garein;40420;40105;-0.65;44.05
